"city","tag","date","time","pit_notes"
982,"000411818635","2017-05-30","09:25:42",NULL
985,153000403897,"2016-05-12","11:04:55",NULL
982,"000411818483","2017-05-15","10:40:43",NULL
985,153000371253,"2015-06-14","10:07:33",NULL
985,153000407448,"2016-05-21","10:56:44",NULL
985,153000403888,"2016-05-29","11:36:07",NULL
986,112100165689,"2017-05-23","13:00:06",NULL
985,153000405149,"2016-05-21","09:58:01",NULL
985,153000403830,"2016-06-03","14:44:30",NULL
985,153000403821,"2016-06-07","09:39:15",NULL
985,153000403797,"2016-05-21","09:33:32",NULL
985,153000372264,"2016-06-03","10:03:45",NULL
985,153000403708,"2015-06-13","09:13:07",NULL
986,112100171820,"2017-06-11","13:49:27",NULL
985,153000404075,"2016-06-15","12:45:32",NULL
985,153000371833,"2015-06-14","15:05:49",NULL
985,153000403605,"2016-05-19","11:59:19",NULL
985,153000403514,"2016-05-29","12:16:02",NULL
985,153000399514,"2016-05-27","10:13:26",NULL
982,"000411818550","2017-05-29","11:33:50",NULL
985,153000369998,"2016-06-07","15:17:40",NULL
985,153000403055,"2016-05-30","10:50:00",NULL
985,153000403500,"2016-05-21","13:14:10",NULL
985,153000355209,"2016-05-31","09:50:40",NULL
985,153000403342,"2016-05-29","12:10:04",NULL
985,153000374351,"2016-05-14","11:49:22",NULL
982,"000411818502","2017-06-11","10:39:16",NULL
985,153000403264,"2016-05-17","11:26:26",NULL
985,153000369925,"2017-05-30","10:00:05",NULL
985,153000403248,"2016-05-12","10:41:24",NULL
985,153000403237,"2016-05-21","13:58:39",NULL
986,112100165007,"2017-06-15","09:59:59",NULL
985,153000403220,"2016-06-04","09:13:24",NULL
982,"000411818582","2017-06-05","14:00:08",NULL
985,153000351496,"2016-05-15","10:46:06",NULL
985,153000403206,"2016-05-19","12:07:58",NULL
985,153000368587,"2016-06-07","14:25:14",NULL
985,153000403144,"2016-05-29","11:15:36",NULL
985,153000403137,"2016-05-12","10:35:22",NULL
985,153000401168,"2016-05-28","13:18:29",NULL
985,153000403830,"2017-05-30","15:17:41",NULL
985,153000369173,"2016-05-31","10:30:44",NULL
985,153000355402,"2016-06-14","09:00:26",NULL
985,153000368085,"2016-06-03","10:54:57",NULL
985,153000403072,"2015-06-13","10:42:38",NULL
986,112100174126,"2017-06-11","11:01:54",NULL
985,153000403071,"2016-05-19","09:59:30",NULL
985,153000354431,"2016-05-30","12:53:00",NULL
985,153000401024,"2016-05-21","09:12:08",NULL
985,153000403045,"2015-06-13","09:13:36",NULL
985,153000403023,"2016-05-18","13:44:05",NULL
986,112100172281,"2017-06-02","12:36:12",NULL
985,153000402570,"2016-05-12","14:26:01",NULL
985,153000402971,"2016-06-15","11:06:01",NULL
985,153000402889,"2017-06-04","15:43:59",NULL
985,153000402889,"2016-05-12","15:21:12",NULL
985,153000402882,"2016-05-21","13:10:52",NULL
985,153000402781,"2015-06-13","09:12:16",NULL
985,153000406665,"2016-05-21","14:10:58",NULL
985,153000370554,"2015-06-14","10:02:07",NULL
